id;road;postal_code;city;country;additional_details
1;models c Versatile;Frozen Rubber line;Loïcbury;Ouganda;bypassing
2;Zambian;optical Franche-Comté;Boulogne-Billancourt;Grèce;convergence
3;Buckinghamshire;Account;Garnierville;Angola;bypass microchip
4;Table invoice;Berkshire Analyste du;Fontainehaven;Bhoutan;capacitor
5;Pizza;interactive;Denisview;Saint-Marin;Account
6;Toys contextually-based Sausages;a Soap;Le rouxchester;Djibouti;transmit
7;Rustic USB Quality-focused;Bacon morph;Rennes;Chypre;projection Taka JBOD
8;c blue invoice;Administrateur Borders Ghana;Valence;Guinée-Bissau;calculate bus Cheese
9;multi-tasking Superviseur;disintermediate Architecte Gloves;Fournierstad;Togo;payment fuchsia context-sensitive
10;Cameroun Pizza Grass-roots;transparent purple alarm;Lake Antide;Liechtenstein;Fully-configurable
