id;payment_date;reception_date;total_price
1;2021-11-04T14:24:41;2021-11-04T18:18:43;74058
2;2021-11-04T08:15:01;2021-11-04T08:12:36;90598
3;2021-11-04T07:35:48;2021-11-04T09:58:48;34818
4;2021-11-04T02:46:26;2021-11-04T10:47:50;68713
5;2021-11-04T12:21:17;2021-11-04T09:54:03;6249
6;2021-11-04T09:15:25;2021-11-04T21:03:57;55341
7;2021-11-04T19:43:45;2021-11-04T03:52:49;77186
8;2021-11-04T14:15:01;2021-11-04T13:59:37;44495
9;2021-11-04T16:30:56;2021-11-04T14:20:52;77913
10;2021-11-04T14:03:23;2021-11-04T02:55:04;61547
