ID;NAME;DESCRIPTION;IMAGE_PATH;QUANTITY;VERSION;ORIGIN;BRAND;PRICE;WEIGHT;WEIGHT_UNIT;CATEGORY_ID
1;Banane;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F1?alt=media&token=07466d04-9bbf-405f-8bed-251894f2d929;100;1;République Dominiquaine;Eco-responsable;1.99;700;G;4
2;Ananas;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F2?alt=media&token=e25b86a6-055f-48ab-920f-5e75b848cbf2;100;1;Costa Rica;Eco-responsable;2.29;1;U;4
3;Pomme Granny;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F3?alt=media&token=73fbca49-e77a-49e4-8fb0-841efd5cd94b;100;1;France;Panier du primeur;2.99;1;KG;4
4;Pomme Bicolor;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F4?alt=media&token=4bb183b5-598a-4148-87e9-1899869fc059;100;1;France;Panier du primeur;2.49;1;KG;4
5;Pomme Golden;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F5?alt=media&token=a443772d-e934-4ee7-810c-854a6a3d7058;100;1;France;Panier du primeur;2.49;1;KG;4
6;Pomme Canada;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F6?alt=media&token=5eff6f5c-40f9-4792-ae17-adfdd15ef774;100;1;France;Panier du primeur;2.99;1;KG;4
7;Pomme Akane;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F7?alt=media&token=dfb60537-5d6c-4bdb-964d-ac2099e09c41;100;1;France;Panier du primeur;2.99;1;KG;4
8;Pomme Fuji;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F8?alt=media&token=a672d182-4038-4cce-a6d8-3155fa95d539;100;1;France;Panier du primeur;3.29;1;KG;4
9;Pomme Reine des Reinette;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F9?alt=media&token=7c3cd0ba-a4b7-4d13-8bae-f4cd3f2fd6a2;100;1;France;Panier du primeur;3.99;1;KG;4
10;Poire Guyot;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F10?alt=media&token=3b05f919-939f-484f-91d6-b798c66a4421;100;1;France;Panier du primeur;2.79;1;KG;4
11;Poira Rochat;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F11?alt=media&token=d996332d-14b8-4a4b-9f05-c557e27a2707;100;1;France;Panier du primeur;2.99;1;KG;4
