id;start_date;end_date;value;unit
1;2021-11-04T12:51:30;2021-11-04T16:41:40;38114;PERCENTAGE
2;2021-11-05T01:15:58;2021-11-04T15:46:02;90671;PERCENTAGE
3;2021-11-04T06:11:58;2021-11-04T05:07:25;43774;FIX
4;2021-11-04T21:47:07;2021-11-05T01:34:09;16235;PERCENTAGE
5;2021-11-04T11:41:40;2021-11-04T11:53:09;554;FIX
6;2021-11-04T13:44:18;2021-11-04T07:43:59;11308;PERCENTAGE
7;2021-11-04T05:34:26;2021-11-04T12:28:03;85660;FIX
8;2021-11-04T09:32:43;2021-11-04T13:06:57;63248;FIX
9;2021-11-04T23:42:16;2021-11-04T02:57:15;32903;FIX
10;2021-11-04T19:14:52;2021-11-04T13:21:15;13327;FIX
