id;code;start_date;end_date;value;unit
1;Loan;2021-11-25T09:15:19;2021-11-25T01:54:11;25500;FIX
2;du well-modulated;2021-11-25T07:24:18;2021-11-25T17:31:29;74471;FIX
3;infrastructures;2021-11-25T10:56:55;2021-11-25T15:20:38;33116;PERCENTAGE
4;Soap lime Agent;2021-11-25T00:48:17;2021-11-25T10:36:25;38243;FIX
5;Bahreïn Mouse Shoes;2021-11-25T04:31:30;2021-11-25T16:58:30;8607;PERCENTAGE
6;seamless;2021-11-25T12:58:37;2021-11-25T09:40:49;17580;FIX
7;Handmade;2021-11-25T19:53:20;2021-11-25T13:34:13;57087;FIX
8;Fish Salad matrix;2021-11-25T13:44:10;2021-11-24T23:56:44;66562;FIX
9;adapter;2021-11-25T21:00:33;2021-11-25T22:29:36;12864;PERCENTAGE
10;b Berkshire;2021-11-25T02:03:25;2021-11-25T07:45:45;15458;FIX
