id;name;description;steps;image_path
1;Shoes d'Assas Champagne-Ardenne;Norvège;Designer invoice Technicien;Books Wooden Paraguay
2;Salad c;copy open a;Chips copy reboot;programming rich Saint-Jacques
3;Bedfordshire EXE;invoice logistical;Afghanistan;cross-platform
4;Moldavie;withdrawal c Awesome;multi-byte Bourgogne Buckinghamshire;Berkshire
5;Agent;Poitou-Charentes de Fresh;invoice;Lombards architecture
6;a Rupee Baby;São;Lepic;alarm Togo Decentralized
7;Borders c;e-tailers generating Balanced;firewall;object-oriented
8;Cambridgeshire;Bosnie-Herzégovine;Agent a;Awesome JBOD Dollar
9;transmit Bacon navigate;Nord-Pas-de-Calais;program azure morph;leading-edge
10;interface b convergence;cutting-edge logistical;turquoise indigo streamline;Wooden Handcrafted Account
